,keyword,date,trend_index
830,barometro,2019-07-14,19
831,barometro,2019-07-21,23
832,barometro,2019-07-28,39
833,barometro,2019-08-04,18
834,barometro,2019-08-11,30
835,barometro,2019-08-18,28
836,barometro,2019-08-25,28
837,barometro,2019-09-01,16
838,barometro,2019-09-08,28
839,barometro,2019-09-15,36
840,barometro,2019-09-22,35
841,barometro,2019-09-29,26
842,barometro,2019-10-06,34
843,barometro,2019-10-13,30
844,barometro,2019-10-20,46
845,barometro,2019-10-27,81
846,barometro,2019-11-03,72
847,barometro,2019-11-10,41
848,barometro,2019-11-17,46
849,barometro,2019-11-24,37
850,barometro,2019-12-01,31
851,barometro,2019-12-08,27
852,barometro,2019-12-15,27
853,barometro,2019-12-22,38
854,barometro,2019-12-29,15
855,barometro,2020-01-05,42
